"hugo_symbol","log2FoldChange"
"ADD2",1.63554389319359
"ADD3",-0.235150473389144
"ADD3-AS1",1.75956142253608
"ADGB",-2.16007788434252
"ADGRA2",-1.34981810002281
"ADGRA3",0.0101018301134872
"ADGRB1",4.35101737968184
"ADGRB3-DT",-0.054448631635367
"ADGRD1",4.2880271182888
"ADGRD2",0.0913984269286585
"ADGRE1",0.476081850685318
"ADGRE2",-0.34561348485476
"ADGRE3",1.70322259546386
"ADGRE5",-0.485542332971333
"ADGRF1",0.830446170004267
"ADGRF3",-0.497516830446769
"ADGRG1",0.618333932999677
"ADGRG2",2.99105237927706
"ADGRG3",1.92399481325691
"ADGRG5",0.653147308300169
"ADGRG6",-1.76274670574386
"ADGRL1",-1.00358787696914
"ADGRL1-AS1",0.619099952341623
"ADGRL2",0.578571759137455
"ADGRV1",1.18504616053947
"ADH5",-0.586961678768507
"ADHFE1",-1.55598438061196
"ADI1",-0.631017875261632
"ADIPOQ",-1.29170398123831
"ADIPOR1",-0.326939680512019
"ADIPOR2",0.197110366091256
"ADIRF-AS1",-0.237793777604289
"ADISSP",-4.20826762500637
"ADK",-0.290225039149524
"ADM",3.0397531426618
"ADM-DT",1.78526936618131
"ADM2",2.56527420341541
"ADM5",-0.383020500001439
"ADNP",-0.185764023425281
"ADNP-AS1",0.742710863354641
"ADNP2",1.0257760605797
"ADO",-0.826251606762475
"ADORA1",-4.67044627432701
"ADORA2A",7.09565293289652
"ADORA2B",-1.84255158815442
"ADORA2BP1",4.43137533561994
"ADORA3",-7.49575109548325
"ADPGK",0.889759455251095
"ADPGK-AS1",1.77193316152248
"ADPRH",0.823768538362994
"ADPRHL1",-0.396010713182992
"ADPRM",0.396191822059821
"ADPRS",-0.476091991097937
"ADRA2B",-1.74847268094456
"ADRB2",-0.254543440254872
"ADRM1",0.0527336100665646
"ADSL",-0.554150913946529
"ADSS1",-0.739908960636207
"ADSS2",0.724592162050564
"ADTRP",4.59232164196045
"AEBP1",0.887436862121554
"AEBP2",1.12603069797988
"AEN",2.01429880827125
"AFAP1",2.85313554207757
"AFAP1-AS1",1.54035085862073
"AFAP1L1",-2.08964380560719
"AFAP1L2",2.05893363064153
"AFDN",2.76678480450997
"AFDN-DT",0.193413125767897
"AFF1",0.189041906591248
"AFF2",2.91281194029724
"AFF3",0.256792403932391
"AFF4",1.42967358686739
"AFF4-DT",0.0451089312219827
"AFG1L",-1.23529283655057
"AFG2A",0.217549993714352
"AFG2B",-0.474858594826101
"AFG3L1P",1.27526346958763
"AFG3L2",-0.643214156563805
"AFMID",0.698687723705039
"AFTPH",0.267972101749388
"AFTPH-DT",-0.631454000012821
"AGA",-0.183810254683348
"AGA-DT",-0.831310766222947
"AGAP1",-1.51645879032068
"AGAP12P",-1.16447484089849
"AGAP2",-0.308612772166847
"AGAP2-AS1",0.103066788377644
"AGAP3",0.14861822414977
"AGAP4",-0.312365872527157
"AGAP5",0.156324630965885
"AGAP6",0.0657514495202069
"AGAP9",-1.04358640918808
"AGBL2",1.43649536012236
"AGBL3",0.907163190569813
"AGBL4",0.777755423379545
"AGBL5",-0.897154923831495
"AGBL5-IT1",-0.519166134804217
"AGER",-1.06192755781868
"AGFG1",0.900758894245895
"AGFG2",1.75480653830236
"AGGF1",0.529441022017211
"AGGF1P2",0.719225357934584
"AGK",0.889497085814465
"AGL",-0.0203799631925267
"AGMAT",0.0405584101464096
"AGO1",-0.16037705330718
"AGO2",1.60894586577234
"AGO3",0.377081357290876
"AGO4",0.77433746085899
"AGPAT1",-1.91769218345195
"AGPAT2",-1.22289463023963
"AGPAT3",0.359912359366721
"AGPAT4",1.6131118951097
"AGPAT5",-0.692932037911874
"AGPS",0.299474239399919
"AGRN",1.61638326768937
"AGT",-1.76473165135188
"AGTPBP1",-0.181093395081487
"AGTRAP",-0.762287297173378
"AGXT",0.774029027191912
"AHCTF1",1.20580477065848
"AHCTF1P1",2.46125670264423
"AHCY",-2.02436637571834
"AHCYL1",-0.0627510376947569
"AHCYL2",1.77532577448336
"AHDC1",-1.77063081637689
"AHI1",-0.0620257726067568
"AHI1-DT",0.688800131975661
"AHNAK",0.405525875055749
"AHNAK2",-1.33202041128575
"AHR",0.964816844482496
"AHRR",-1.31708138480421
"AHSA1",0.130613287487682
"AHSA2P",-0.699340666369103
"AICDA",1.10541995657304
"AIDA",1.4247557911502
"AIF1",-3.20143934808815
"AIFM1",-2.04819536083113
"AIFM2",1.4792062757751
"AIFM3",-2.23364077605321
"AIG1",-2.57657845191002
"AIM2",1.4708388224643
"AIMP1",-0.332393091371666
"AIMP2",0.00532068618630168
"AIP",-0.314722147994057
"AIPL1",0.405884541536148
"AIRE",-2.93038848861968
"AIRIM",-0.334648226587875
"AJM1",-0.631785692569873
"AJUBA",-2.43584295472145
"AJUBA-DT",0.0244847309342681
"AK1",-1.59754208814225
"AK2",-0.865971784691411
"AK3",0.957538926151899
"AK4",2.75396128951093
"AK6",-0.0387304617390091
"AK7",1.27922408389822
"AK8",4.17947430310242
"AK9",0.497846540951251
"AKAP1",-1.00473110349082
"AKAP1-DT",-0.152400199157291
"AKAP10",0.129549344385745
"AKAP11",-0.597449758398318
"AKAP12",1.59403141414298
"AKAP13",0.708527310874846
"AKAP17A",0.0953050945467275
"AKAP3",0.321054595314737
"AKAP5",-2.39212008619838
"AKAP6",2.86063247940852
"AKAP7",1.21683084535817
"AKAP8",0.5782288719828
"AKAP8L",-0.164740531330645
"AKAP9",-0.389164172013818
"AKIP1",0.0295066730746738
"AKIRIN1",1.47982624293513
"AKIRIN2",-0.445017605014266
"AKNA",0.333969390904996
"AKR1A1",-1.21213705422754
"AKR1B1",-0.790739674341715
"AKR1B15",0.263925950905425
"AKR1C1",2.90059144492757
"AKR1C2",0.439701177754914
"AKR1C3",0.69509833655918
"AKR1E2",0.992993105771551
"AKR7A2",-1.17346290938089
"AKR7A3",-1.51576887551203
"AKR7L",-1.05729581922668
"AKT1",-0.34394523112442
"AKT1S1",1.82477536242376
"AKT2",0.0822724845767775
"AKT3",2.70065318027568
"AKTIP",-0.322488804884353
"ALAD",-1.21965462411945
"ALAS1",1.15044538590992
"ALAS2",1.35348565958785
"ALCAM",1.95921178491203
"ALDH16A1",-1.50379880688145
"ALDH18A1",-0.134942197272312
"ALDH1A1",-0.509100328111855
"ALDH1A2",2.81914073806812
"ALDH1A3",0.563485558224954
"ALDH1A3-AS1",0.305125109143362
"ALDH1B1",0.0834361279308934
