"hugo_symbol","log2FoldChange","padj"
"ADO",-0.826251606762475,0.000100952316580848
"ADORA1",-4.67044627432701,4.59148524374779e-19
"ADORA2A",7.09565293289652,3.40193492106811e-86
"ADORA2B",-1.84255158815442,2.37318163893529e-05
"ADORA2BP1",4.43137533561994,1.11810547374276e-06
"ADORA3",-7.49575109548325,7.92581689194826e-43
"ADPGK",0.889759455251095,9.71125099865135e-08
"ADPGK-AS1",1.77193316152248,2.00502686165909e-07
"ADPRH",0.823768538362994,0.00157400165716728
"ADPRHL1",-0.396010713182992,0.238802756552464
"ADPRM",0.396191822059821,0.120519730654955
"ADPRS",-0.476091991097937,0.0373054943828324
"ADRA2B",-1.74847268094456,0.00118971892978557
"ADRB2",-0.254543440254872,0.638419882531031
"ADRM1",0.0527336100665646,0.866747645538867
"ADSL",-0.554150913946529,0.00728883979857264
"ADSS1",-0.739908960636207,0.00552803697970893
"ADSS2",0.724592162050564,0.0013748436296585
"ADTRP",4.59232164196045,1.42501045088296e-21
"AEBP1",0.887436862121554,0.0149790770998405
"AEBP2",1.12603069797988,3.20360542089187e-06
"AEN",2.01429880827125,7.70710014726015e-15
"AFAP1",2.85313554207757,6.18125890790192e-08
"AFAP1-AS1",1.54035085862073,0.0301798181251876
"AFAP1L1",-2.08964380560719,1.99571986520473e-06
"AFAP1L2",2.05893363064153,0.000217748762931289
"AFDN",2.76678480450997,5.93956935896722e-17
"AFDN-DT",0.193413125767897,0.805651141764696
"AFF1",0.189041906591248,0.512847658587871
"AFF2",2.91281194029724,3.6222937702104e-09
"AFF3",0.256792403932391,0.731385527767394
"AFF4",1.42967358686739,1.52693037996283e-06
"AFF4-DT",0.0451089312219827,0.95654566091511
"AFG1L",-1.23529283655057,2.13035092367409e-06
"AFG2A",0.217549993714352,0.495612063787537
"AFG2B",-0.474858594826101,0.0331895886953736
"AFG3L1P",1.27526346958763,0.00945935621871982
"AFG3L2",-0.643214156563805,0.000214390109922508
"AFMID",0.698687723705039,0.0217389709855535
"AFTPH",0.267972101749388,0.109772376209334
"AFTPH-DT",-0.631454000012821,0.0313007277889006
"AGA",-0.183810254683348,0.391087052865049
"AGA-DT",-0.831310766222947,0.0957070175757607
"AGAP1",-1.51645879032068,9.45994532400464e-06
